t_norm_0_1,coherence_baseline,coherence_omega,entropy_baseline,entropy_omega
0.0,0.06664,0.281605,0.9230466666666667,0.6773769047619048
0.0011904761904761906,0.06664046606247924,0.2816073170243003,0.923126,0.6776924285714286
0.002380952380952381,0.06664186422384084,0.28161426796756406,0.9232053333333333,0.6780079523809524
0.0035714285714285718,0.06664419440585784,0.2816258524408869,0.9232846666666666,0.6783234761904763
0.004761904761904762,0.06664745647815684,0.28164206979611883,0.923364,0.678639
0.005952380952380953,0.06665165025822528,0.28166291912590086,0.9234433333333334,0.6789545238095238
0.0071428571428571435,0.0666567755114217,0.2816883992637156,0.9235226666666667,0.6792700476190476
0.008333333333333335,0.06666283195098881,0.28171850878395244,0.923602,0.6795855714285715
0.009523809523809525,0.06666981923806954,0.2817532460019873,0.9236813333333334,0.6799010952380953
0.010714285714285714,0.06667773698172605,0.28179260897427727,0.9237606666666667,0.6802166190476191
0.011904761904761906,0.06668658473896154,0.28183659549846873,0.92384,0.6805321428571429
0.013095238095238097,0.0666963620147451,0.2818852031135211,0.9239193333333333,0.6808476666666667
0.014285714285714287,0.06670706826203932,0.2819384290998443,0.9239986666666666,0.6811631904761906
0.015476190476190477,0.066718702881831,0.2819962704794509,0.924078,0.6814787142857144
0.01666666666666667,0.06673126522316457,0.28205872401612275,0.9241573333333333,0.6817942380952382
0.01785714285714286,0.06674475458317858,0.28212578621559214,0.9242366666666667,0.682109761904762
0.01904761904761905,0.06675917020714499,0.28219745332573726,0.924316,0.6824252857142857
0.02023809523809524,0.0667745112885114,0.2822737213367921,0.9243953333333333,0.6827408095238096
0.02142857142857143,0.06679077696894621,0.28235458598157076,0.9244746666666667,0.6830563333333334
0.022619047619047622,0.06680796633838657,0.2824400427357063,0.924554,0.6833718571428572
0.02380952380952381,0.06682607843508936,0.2825300868179037,0.9246333333333333,0.683687380952381
0.025,0.06684511224568501,0.2826247131902077,0.9247126666666666,0.6840029047619048
0.026190476190476195,0.06686506670523414,0.2827239165582843,0.9247920000000001,0.6843184285714285
0.027380952380952384,0.06688594069728718,0.2828276913717173,0.9248713333333334,0.6846339523809524
0.028571428571428574,0.06690773305394683,0.2829360318243185,0.9249506666666667,0.6849494761904762
0.029761904761904764,0.06693044255593342,0.28304893185445285,0.93336,0.718395
0.030952380952380953,0.06695406793265309,0.2831663851453776,0.9333595339375208,0.7183926829756997
0.03214285714285715,0.0669786078622689,0.2832883851255955,0.9333581357761591,0.7183857320324359
0.03333333333333334,0.0670040609717748,0.28341492496922255,0.9333558055941422,0.7183741475591131
0.034523809523809526,0.06703042583707243,0.28354599759636995,0.9333525435218432,0.7183579302038812
0.03571428571428572,0.06705770098305082,0.28368159567354045,0.9333483497417747,0.7183370808740992
0.036904761904761905,0.06708588488366889,0.2838217116140381,0.9333432244885783,0.7183116007362844
0.0380952380952381,0.06711497596204083,0.28396633757839324,0.9333371680490112,0.7182814912160476
0.03928571428571429,0.0671449725905244,0.2841154654748009,0.9333301807619304,0.7182467539980126
0.04047619047619048,0.0671758730908119,0.28426908695957354,0.9333222630182739,0.7182073910257227
0.04166666666666667,0.06720767573402413,0.2844271934376079,0.9333134152610385,0.7181634045015313
0.04285714285714286,0.06724037874080709,0.28458977606286595,0.9333036379852548,0.718114796886479
0.04404761904761905,0.06727398028143156,0.2847568257388696,0.9332929317379607,0.7180615709001557
0.045238095238095244,0.06730847847589547,0.2849283331192102,0.933281297118169,0.718003729520549
0.04642857142857143,0.06734387139402906,0.2851042886080706,0.9332687347768355,0.7179412759838772
0.04761904761904762,0.0673801570556029,0.2852846823607629,0.9332552454168215,0.7178742137844079
0.048809523809523817,0.06741733343043867,0.28546950428427864,0.933240829792855,0.7178025466742628
0.05,0.06745539843852275,0.28565874403785385,0.9332254887114886,0.7177262786632079
0.051190476190476196,0.0674943499501226,0.28585239103354765,0.9332092230310538,0.7176454140184292
0.05238095238095239,0.06753418578590593,0.2860504344368342,0.9331920336616134,0.7175599572642937
0.053571428571428575,0.06757490371706261,0.28625286316720944,0.9331739215649106,0.7174699131820963
0.05476190476190477,0.06761650146542936,0.28645966589881067,0.933154887754315,0.7173752868097922
0.055952380952380955,0.06765897670361727,0.28667083106105046,0.9331349332947658,0.7172760834417157
0.05714285714285715,0.06770232705514198,0.28688634683926373,0.9331140593027129,0.7171723086282826
0.05833333333333334,0.06774655009455663,0.2871062011753693,0.9330922669460532,0.7170639681756815
0.05952380952380953,0.06779164334758755,0.28733038176854375,0.9330695574440666,0.7169510681455471
0.06071428571428572,0.06783760429127281,0.2875588760759106,0.9330459320673469,0.7168336148546224
0.06190476190476191,0.06788443035410321,0.2877916713132412,0.933021392137731,0.7167116148744045
0.06309523809523811,0.0679321189161663,0.2880287544556706,0.9329959390282252,0.7165850750307774
0.0642857142857143,0.06798066730929284,0.2882701122384261,0.9329695741629276,0.7164540024036301
0.06547619047619048,0.0680300728172062,0.2885157311575692,0.9329422990169491,0.7163184043264595
0.06666666666666668,0.06808033267567427,0.2887655974707516,0.9329141151163312,0.716178288385962
0.06785714285714287,0.06813144407266414,0.28901969719798354,0.9328850240379591,0.7160336624216068
0.06904761904761905,0.06818340414849937,0.28927801612241655,0.9328550274094756,0.7158845345251992
0.07023809523809524,0.06823620999602013,0.2895405397911385,0.9328241269091881,0.7157309130404265
0.07142857142857144,0.0682898586607457,0.28980725351598213,0.9327923242659759,0.7155728065623921
0.07261904761904762,0.06834434714103986,0.2900781423743473,0.9327596212591929,0.715410223937134
